name,style,malay_title,title_thai,zn,malay_prompt,thai_prompt,cn_prompt
M2-romer_005_attr1_subject,style1,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,,,
M10-mosh_007_attr1_subject,style5,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,,,
M7-lene_003_attr1_subject,style4,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,,,
M5-king_007_attr1_subject,style5,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,,,
M4-donal_003_attr1_subject,style3,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,,,
M5-king_001_attr1_subject,style2,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,,,
M7-lene_005_attr1_subject,style3,Diskon gila! Tak beli rugi sampai menangis!,ส่วนลดบ้า! ฉันไม่ซื้อมันจนกว่าฉันจะร้องไห้!,,,,
M10-mosh_005_attr1_subject,style5,Diskon gila! Tak beli rugi sampai menangis!,ส่วนลดบ้า! ฉันไม่ซื้อมันจนกว่าฉันจะร้องไห้!,,,,
M7-lene_001_attr1_subject,style5,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,,,
M8-kodi_001_attr1_subject,style3,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,,,
M2-romer_003_attr1_subject,style5,Diskon gila! Tak beli rugi sampai menangis!,ส่วนลดบ้า! ฉันไม่ซื้อมันจนกว่าฉันจะร้องไห้!,,,,
M10-mosh_005_attr1_subject_chf3_prob4,style2,Grab cepat Stok laris seperti roti canai,คว้าเร็ว หุ้นขายเหมือนโรตีคาไน,,,,
M5-king_005_attr1_subject,style1,Grab cepat Stok laris seperti roti canai,คว้าเร็ว หุ้นขายเหมือนโรตีคาไน,,,,
M6-flem_005_attr1_subject,style3,Diskon gila! Tak beli rugi sampai menangis!,ส่วนลดบ้า! ฉันไม่ซื้อมันจนกว่าฉันจะร้องไห้!,,,,
M8-kodi_005_attr1_subject,style1,Diskon gila! Tak beli rugi sampai menangis!,ส่วนลดบ้า! ฉันไม่ซื้อมันจนกว่าฉันจะร้องไห้!,,,,
M8-kodi_003_attr1_subject,style1,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,,,
M3-morri_001_attr1_subject,style1,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,,,
,style4,Harga senyum-senyum! Beli jangan ragu!,ราคาของรอยยิ้ม! ซื้อมันโดยไม่ลังเล!,,,,
,style2,Grab cepat Stok laris seperti roti canai,คว้าเร็ว หุ้นขายเหมือนโรตีคาไน,,,,
,style3,Diskon gila! Tak beli rugi sampai menangis!,ส่วนลดบ้า! ฉันไม่ซื้อมันจนกว่าฉันจะร้องไห้!,,,,
